الاسم              , 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5
Teacher V,  ,  ,  ,  , x, x, x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Teacher R, x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x,  ,  ,  ,  ,  
Teacher AD, x, x, x, x, x,  ,  ,  ,  ,  , x, x, x, x,  ,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Teacher X, x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Teacher N,  ,  ,  ,  , x, x, x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x,  ,  ,  ,  ,  ,  
Teacher H, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x,  ,  ,  ,  ,  , x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  , x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  
Teacher W,  ,  ,  ,  ,  ,  , x, x,  ,  ,  ,  ,  ,  ,  , x, x, x, x,  , x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  
Teacher J,  ,  ,  ,  , x, x, x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x, x,  , x, x, x, x,  ,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Teacher F, x, x, x, x, x,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  ,  , x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Teacher AB,  ,  ,  ,  , x, x, x, x, x,  , x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , x, x, x, x, x,  , x, x, x, x, x,  ,  ,  ,  ,  , x, x, x, x, x,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
